23.92	36.03	4.66	0.28	3.99	3.05	6.80	1.93	4.22	2.87
27.06	52.49	35.46	0.04	4.68	0.21	-1.00	8.07	2.77	8.78
34.52	50.82	49.37	0.05	3.81	1.80	5.88	6.23	0.12	8.53
27.11	39.02	49.68	0.57	2.79	-0.73	-1.02	1.20	-1.14	0.21
26.53	41.20	75.79	0.38	4.19	-4.90	1.22	2.01	-0.07	0.53
31.38	37.30	96.28	0.38	2.29	-1.58	0.53	3.02	-0.62	1.33
19.63	45.56	100.18	0.31	2.50	-1.77	-5.58	1.88	3.12	3.38
39.53	42.59	117.89	0.05	3.35	-0.97	-2.85	4.54	-1.20	6.12
21.44	55.65	6.17	0.52	3.70	1.76	-5.41	1.34	-1.55	2.22
26.24	65.25	5.74	0.06	6.08	-0.97	1.72	10.42	0.60	11.12
25.30	55.63	34.64	0.18	3.63	4.02	-3.71	3.05	-2.18	1.33
26.96	53.02	38.70	0.42	3.51	0.18	3.45	1.05	-0.89	3.83
29.79	43.37	52.09	0.21	2.93	2.47	0.66	3.90	0.83	1.20
26.89	46.05	73.83	0.01	3.28	1.56	5.92	12.94	10.89	10.07
29.64	54.40	85.98	0.01	11.02	-2.50	-2.38	7.40	-8.12	7.54
33.79	55.26	137.07	0.22	1.99	-0.69	-2.47	2.76	7.69	9.13
37.59	45.56	125.05	0.25	1.86	-0.31	-1.42	1.08	4.82	6.57
29.69	59.83	1.32	0.28	3.28	0.87	-1.96	1.84	-2.98	2.63
29.00	70.55	15.82	0.25	3.54	-0.47	2.93	1.32	-1.59	4.00
33.28	62.03	31.39	0.28	3.33	1.85	-4.43	1.99	-2.96	3.16
26.45	60.60	41.87	0.01	10.58	2.50	1.27	8.97	-1.78	9.98
36.03	71.37	52.57	0.37	3.78	0.76	2.43	1.09	0.11	1.17
27.24	62.73	78.76	0.41	4.15	-4.06	3.26	0.18	-0.28	1.55
27.99	71.17	95.79	0.04	3.67	-0.06	0.66	9.91	-1.88	6.31
25.45	65.72	132.12	0.01	11.28	-6.45	2.69	10.93	-1.49	11.00
30.79	57.60	138.31	0.09	3.76	2.45	-5.57	6.36	-6.70	5.72
19.45	74.19	-2.68	0.26	3.35	-0.13	4.05	1.13	-1.53	8.31
27.16	83.69	26.92	0.02	10.54	-0.57	-2.28	10.11	-0.94	10.83
34.81	87.43	44.37	0.09	2.91	0.32	1.21	2.18	-2.70	4.86
31.10	82.07	63.98	0.23	3.46	3.64	-3.71	2.16	-1.76	1.86
24.13	73.95	83.40	0.06	3.26	5.62	2.41	2.11	3.02	3.16
28.86	77.57	93.47	0.31	2.23	0.00	0.74	1.42	0.18	3.95
27.71	83.57	96.91	0.28	2.11	-0.30	0.02	2.82	-2.89	2.09
33.96	75.60	116.94	0.20	2.08	-1.06	-1.44	2.15	2.30	1.89
34.14	80.07	120.50	0.31	1.88	0.11	0.86	1.21	0.10	1.65
27.12	86.91	4.68	0.21	3.42	1.13	2.17	2.21	5.45	3.07
24.06	78.93	1.25	0.07	4.75	4.63	1.86	10.89	4.77	6.89
17.18	91.76	37.26	0.27	2.51	1.16	1.01	1.90	0.51	2.00
34.66	91.01	42.06	0.26	2.94	-0.86	0.84	2.74	-0.95	1.07
34.91	85.99	53.24	0.11	1.11	0.09	1.16	1.92	0.11	8.52
27.12	85.54	79.36	0.04	4.04	-0.07	-0.07	8.18	2.23	11.65
27.75	86.88	79.42	0.25	2.59	-0.45	-2.42	1.52	2.12	2.29
25.32	90.64	84.20	0.30	2.31	0.04	0.24	1.03	0.18	3.28
32.04	88.22	133.38	0.01	5.50	-2.91	-1.16	12.94	4.79	11.35
32.59	103.42	5.49	0.50	3.11	0.01	0.40	1.45	-1.02	2.12
35.30	102.88	4.74	0.07	4.72	3.20	4.44	3.25	2.69	10.31
34.18	108.31	57.82	0.02	8.62	3.40	2.92	8.62	-4.36	8.84
24.54	104.42	76.79	0.32	2.94	1.13	-6.31	1.24	-1.65	3.30
25.99	91.80	88.47	0.06	2.38	-0.32	1.75	2.81	-5.24	8.16
28.29	94.76	100.09	0.02	2.10	1.27	-1.52	11.19	-14.48	7.48
28.55	113.14	113.36	0.22	2.51	2.87	1.41	2.17	0.94	1.05
24.89	109.10	127.01	0.02	8.05	-4.79	6.97	5.48	-0.88	5.78
22.51	111.60	28.69	0.07	2.32	2.08	-0.28	12.22	-0.85	5.41
23.61	107.71	40.91	0.01	5.12	5.81	-2.20	12.98	8.02	11.04
25.43	120.64	56.94	0.06	9.08	4.12	1.87	3.49	0.11	2.84
37.31	106.55	72.56	0.03	8.75	-0.95	-0.24	4.28	-0.89	5.62
20.43	116.49	78.40	0.02	8.66	0.13	6.84	8.98	-5.52	9.36
35.71	110.81	111.03	0.02	10.93	1.82	1.82	3.92	1.72	13.12
34.33	117.22	111.79	0.30	2.40	1.49	-2.86	1.40	-1.73	2.00
28.59	111.77	125.66	0.31	3.03	4.55	-2.22	2.19	-0.94	1.19
36.96	122.76	138.20	0.05	3.69	3.19	-1.06	6.14	-0.20	7.92
38.08	126.66	17.79	0.03	3.81	0.27	-4.80	6.37	-1.53	13.23
27.44	122.47	28.11	0.34	1.16	3.31	-1.19	3.61	2.24	0.14
33.84	132.29	43.44	0.02	7.86	-3.11	-0.11	5.29	-1.22	9.69
32.42	121.92	57.44	0.45	3.20	1.04	3.57	0.98	0.79	1.46
37.87	121.68	65.68	0.04	4.56	1.82	-0.08	5.04	-2.30	8.76
27.73	126.40	78.07	0.45	0.00	-2.98	-0.43	0.16	-0.28	1.97
26.29	123.54	83.74	0.06	3.15	0.22	-1.64	4.90	-1.85	7.94
30.94	122.89	116.31	0.02	3.03	-0.14	2.14	14.77	-3.71	8.57
28.77	131.27	117.39	0.09	2.36	0.01	-3.10	2.09	-0.64	4.87
30.35	133.89	25.63	0.26	3.23	-0.41	1.63	2.96	-4.68	2.15
29.30	128.16	26.66	0.07	2.43	0.65	-0.32	12.73	-1.48	5.54
27.81	140.59	52.89	0.30	2.87	0.37	-1.17	3.57	3.20	3.98
34.96	130.47	43.09	0.22	3.15	-1.31	-5.26	1.08	3.04	3.86
36.07	136.70	63.32	0.05	8.61	-5.05	3.81	5.32	2.45	5.61
25.95	123.98	85.40	0.21	2.44	0.54	-2.54	0.97	-1.80	4.29
24.49	133.67	93.28	0.01	6.69	1.00	-1.77	8.54	-6.71	10.77
34.01	142.66	104.95	0.14	2.52	0.64	-2.26	7.01	0.48	7.82
29.36	132.44	115.67	0.22	2.01	-0.03	-3.09	0.77	-1.97	6.79
39.90	138.58	131.36	0.04	2.28	0.05	-1.10	11.36	2.18	9.38
